Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,10/27/2015,30-301,CLE,@,CHI,L (-2),1,36:04:00,12,22,0.545,1,5,0.2,0,3,0,0,10,10,5,1,0,1,3,25,18.5,1,48.5
2,2,10/28/2015,30-302,CLE,@,MEM,W (+30),1,30:48:00,4,13,0.308,0,3,0,4,8,0.5,1,6,7,5,3,0,3,1,12,8.5,10,32.8
3,3,10/30/2015,30-304,CLE,,MIA,W (+10),1,33:56:00,13,19,0.684,0,2,0,3,5,0.6,2,3,5,4,1,0,4,3,29,21,7,41.3
4,4,11/2/2015,30-307,CLE,@,PHI,W (+7),1,33:20:00,9,19,0.474,0,3,0,4,4,1,0,9,9,11,4,2,3,3,22,23.9,21,61.8
5,5,11/4/2015,30-309,CLE,,NYK,W (+10),1,35:04:00,9,23,0.391,1,5,0.2,4,7,0.571,2,3,5,3,4,1,3,1,23,15,14,42.8
6,6,11/6/2015,30-311,CLE,,PHI,W (+6),1,36:20:00,12,22,0.545,3,5,0.6,4,6,0.667,0,4,4,13,2,0,2,1,31,29.5,24,61.5
7,7,11/8/2015,30-313,CLE,,IND,W (+4),1,35:01:00,10,23,0.435,0,3,0,9,14,0.643,0,6,6,4,0,0,2,0,29,17.5,1,41.5
8,8,11/10/2015,30-315,CLE,,UTA,W (+4),1,37:51:00,11,19,0.579,1,3,0.333,8,12,0.667,3,4,7,8,2,0,5,2,31,25.6,4,53.8
9,9,11/13/2015,30-318,CLE,@,NYK,W (+6),1,39:23:00,12,21,0.571,0,2,0,7,10,0.7,0,3,3,6,2,1,3,4,31,23.1,17,48.3
10,10,11/14/2015,30-319,CLE,@,MIL,L (-3),1,45:03:00,13,27,0.481,5,11,0.455,6,12,0.5,4,8,12,5,1,3,7,3,37,24.5,-2,68
11,11,11/17/2015,30-322,CLE,@,DET,L (-5),1,39:48:00,11,21,0.524,4,7,0.571,4,5,0.8,0,6,6,3,0,0,4,3,30,18,-6,42
12,12,11/19/2015,30-324,CLE,,MIL,W (+15),1,34:59:00,9,13,0.692,1,1,1,8,9,0.889,3,6,9,6,0,0,4,3,27,24,13,45.8
13,13,11/21/2015,30-326,CLE,,ATL,W (+12),1,33:20:00,8,15,0.533,1,2,0.5,2,2,1,2,9,11,8,0,2,3,1,19,19.4,17,49.3
14,14,11/23/2015,30-328,CLE,,ORL,W (+14),1,34:58:00,7,14,0.5,0,2,0,1,5,0.2,0,6,6,13,1,0,2,0,15,16.3,29,44.5
15,15,11/25/2015,30-330,CLE,@,TOR,L (-4),1,39:46:00,6,16,0.375,1,5,0.2,11,12,0.917,2,4,6,8,0,0,2,1,24,20.6,13,43
16,16,11/27/2015,30-332,CLE,@,CHO,W (+5),1,38:13:00,8,20,0.4,2,5,0.4,7,9,0.778,2,11,13,5,0,0,3,2,25,17.8,1,49.8
17,17,11/28/2015,30-333,CLE,,BRK,W (+2),1,35:43:00,10,22,0.455,1,6,0.167,5,6,0.833,2,7,9,5,1,0,2,0,26,20.2,-1,46.3
18,18,12/1/2015,30-336,CLE,,WAS,L (-12),1,37:23:00,8,20,0.4,0,3,0,8,8,1,4,9,13,4,1,1,9,3,24,13,-12,47.3
19,19,12/4/2015,30-339,CLE,@,NOP,L (-6),1,44:47:00,13,29,0.448,1,5,0.2,10,11,0.909,2,5,7,8,1,1,5,4,37,25.1,-4,59.8
20,,12/5/2015,30-340,CLE,@,MIA,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,20,12/8/2015,30-343,CLE,,POR,W (+5),1,40:20:00,14,24,0.583,1,3,0.333,4,4,1,1,9,10,3,2,3,2,3,33,28.2,7,61
22,21,12/11/2015,30-346,CLE,@,ORL,W (+35),1,29:25:00,10,15,0.667,0,1,0,5,8,0.625,0,3,3,8,4,0,4,0,25,23.8,36,46.8
23,22,12/15/2015,30-350,CLE,@,BOS,W (+12),1,35:42:00,10,20,0.5,0,3,0,4,4,1,1,6,7,3,2,1,6,3,24,14.1,17,40.3
24,23,12/17/2015,30-352,CLE,,OKC,W (+4),1,39:37:00,12,27,0.444,2,5,0.4,7,8,0.875,2,7,9,11,2,0,7,2,33,23.9,5,63.8
25,24,12/20/2015,30-355,CLE,,PHI,W (+22),1,25:19:00,10,17,0.588,0,3,0,3,4,0.75,0,5,5,4,3,1,2,0,23,20.7,33,42.3
26,25,12/23/2015,30-358,CLE,,NYK,W (+7),1,37:43:00,9,22,0.409,0,3,0,6,7,0.857,1,8,9,5,0,0,1,2,24,16.6,7,42.3
27,26,12/25/2015,30-360,CLE,@,GSW,L (-6),1,38:33:00,10,26,0.385,1,5,0.2,4,9,0.444,2,7,9,2,1,2,4,0,25,12.1,-9,43.8
28,27,12/26/2015,30-361,CLE,@,POR,L (-29),1,26:27:00,4,13,0.308,0,3,0,4,5,0.8,0,4,4,5,0,0,3,2,12,5,-29,23
29,28,12/28/2015,30-363,CLE,@,PHO,W (+4),1,35:23:00,4,10,0.4,1,5,0.2,5,9,0.556,0,4,4,7,2,1,2,3,14,12.6,3,35
30,29,12/29/2015,30-364,CLE,@,DEN,W (+6),1,34:23:00,13,24,0.542,1,3,0.333,7,8,0.875,3,3,6,2,2,1,5,2,34,23.3,3,48.5
31,30,1/2/2016,31-003,CLE,,ORL,W (+25),1,29:13:00,11,18,0.611,4,7,0.571,3,4,0.75,0,5,5,3,2,0,0,2,29,25.2,28,45.8
32,31,1/4/2016,31-005,CLE,,TOR,W (+22),1,30:41:00,7,11,0.636,1,2,0.5,5,8,0.625,0,2,2,7,3,0,2,1,20,20,11,38.5
33,32,1/6/2016,31-007,CLE,@,WAS,W (+6),1,39:42:00,12,22,0.545,4,9,0.444,6,8,0.75,0,10,10,4,1,1,2,3,34,26.9,2,59
34,33,1/8/2016,31-009,CLE,@,MIN,W (+26),1,32:14:00,5,12,0.417,0,4,0,3,4,0.75,0,12,12,8,1,2,3,1,13,14.4,21,46
35,34,1/10/2016,31-011,CLE,@,PHI,W (+10),1,37:00:00,15,22,0.682,3,5,0.6,4,6,0.667,0,7,7,9,2,0,2,1,37,34.8,11,63.8
36,35,1/12/2016,31-013,CLE,@,DAL,W (+3),1,41:43:00,9,17,0.529,3,6,0.5,6,8,0.75,3,7,10,7,2,0,4,2,27,24.2,2,55
37,36,1/14/2016,31-015,CLE,@,SAS,L (-4),1,37:20:00,9,17,0.529,1,3,0.333,3,4,0.75,2,5,7,5,0,0,4,4,22,14.1,9,36.8
38,37,1/15/2016,31-016,CLE,@,HOU,W (+14),1,36:23:00,7,14,0.5,1,2,0.5,4,6,0.667,2,5,7,7,0,2,4,1,19,16,10,40.8
39,38,1/18/2016,31-019,CLE,,GSW,L (-34),1,32:53:00,7,16,0.438,0,3,0,2,2,1,1,4,5,5,1,1,3,1,16,11.3,-34,32.3
